SMF_TYPE,SUBTYPE,SYSTEM_ID,JOB_NAME,JOB_ID,USER_ID,JOB_CLASS,READER_START_TS,LAST_RUN_TS,COMPLETION_CODE,CPU_SECONDS,STEP_COUNT
30,5,CARD,TRANIDX,JOB00040,CARDUSR,A,2022-05-24T23:29:00,2022-05-25T00:00:00,0000,87,3
30,5,CARD,TRANREPT,JOB00041,CARDUSR,A,2022-06-25T23:39:00,2022-06-26T00:00:00,0000,1,3
30,5,CARD,TRANTYPE,JOB00042,CARDUSR,A,2025-09-19T23:39:00,2025-09-20T00:00:00,0000,14,3
30,5,CARD,TXT2PDF1,JOB00043,CARDUSR,A,2019-02-14T23:26:00,2019-02-15T00:00:00,0000,58,1
30,5,CARD,UNLDGSAM,JOB00044,CARDUSR,A,2026-04-25T23:29:00,2026-04-26T00:00:00,0000,13,1
30,5,CARD,UNLDPADB,JOB00045,CARDUSR,A,2020-09-02T23:26:00,2020-09-03T00:00:00,0000,29,2
30,5,CARD,WAITSTEP,JOB00046,CARDUSR,A,2024-10-19T23:20:00,2024-10-20T00:00:00,0000,3,1
30,5,CARD,XFERFEE,JOB00047,CARDUSR,A,2024-08-07T23:49:00,2024-08-08T00:00:00,0000,38,1
30,5,CARD,XFRDAILY,JOB00048,CARDUSR,A,2026-01-30T23:22:00,2026-01-31T00:00:00,0000,66,1
30,5,CARD,XFREXTR,JOB00049,CARDUSR,A,2026-07-26T23:49:00,2026-07-27T00:00:00,0000,98,1
30,5,CARD,XFRPURGE,JOB00050,CARDUSR,A,2019-07-19T02:48:00,2019-07-19T03:14:00,0000,103,1
30,5,CARD,XFRRECON,JOB00051,CARDUSR,A,2026-02-25T23:30:00,2026-02-26T00:00:00,0000,55,1
30,5,CARD,XREFFILE,JOB00052,CARDUSR,A,2026-02-04T23:44:00,2026-02-05T00:00:00,0000,97,6
